,best,strategy,acq_func,performance,params,xratio,delay,week
0,1,BBvolumeStrategy,ucb,1.200362195,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 1.0}",32.13450732,20.6783123,35
1,1,BBvolumeStrategy,ei,1.413484074,"{'bb_mult_factor': 1.0, 'bb_periods': 15.645092066927981, 'vol_mult_factor_down': 2.937065913375479, 'vol_mult_factor_up': 4.814372314571332, 'vol_periods': 10.701864424314573}",30.28395484,31.37402749,35
2,1,BBvolumeStrategy,poi,1.312500718,"{'bb_mult_factor': 1.4655870485495845, 'bb_periods': 9.481603518603679, 'vol_mult_factor_down': 3.8497232399456482, 'vol_mult_factor_up': 2.916508365964318, 'vol_periods': 4.928507778991362}",32.54292869,12.90290213,35
0,1,BBvolumeStrategy,ucb,1.084412904,"{'bb_mult_factor': 3.5835764522666245, 'bb_periods': 9.314157013991158, 'vol_mult_factor_down': 4.5670920031283195, 'vol_mult_factor_up': 4.854651042004117, 'vol_periods': 8.285388857689776}",30.41507794,20.04231548,37
1,1,BBvolumeStrategy,ei,1.107308638,"{'bb_mult_factor': 2.7838685623496224, 'bb_periods': 20.0, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 1.7991740525644562}",37.94666748,27.60195446,37
2,1,BBvolumeStrategy,poi,1.436120067,"{'bb_mult_factor': 1.9253340091443538, 'bb_periods': 18.37653938678493, 'vol_mult_factor_down': 3.3456726150645575, 'vol_mult_factor_up': 2.9769834675119915, 'vol_periods': 9.56213723876694}",36.04590735,17.28099918,37
0,1,BBvolumeStrategy,ucb,1.38266496,"{'bb_mult_factor': 1.0, 'bb_periods': 20.0, 'vol_mult_factor_down': 5.0, 'vol_mult_factor_up': 5.0, 'vol_periods': 1.0}",25.92269545,17.92899966,39
1,1,BBvolumeStrategy,ei,1.356487759,"{'bb_mult_factor': 3.5835764522666245, 'bb_periods': 9.314157013991158, 'vol_mult_factor_down': 4.5670920031283195, 'vol_mult_factor_up': 4.854651042004117, 'vol_periods': 8.285388857689776}",21.93923034,30.49799609,39
2,1,BBvolumeStrategy,poi,1.350480597,"{'bb_mult_factor': 2.6382225081341284, 'bb_periods': 2.6429031832463004, 'vol_mult_factor_down': 1.695189529601894, 'vol_mult_factor_up': 4.744883990675872, 'vol_periods': 18.2518591691611}",280.4274427,8.935001373,39
0,1,BBvolumeStrategy,ucb,1,"{'bb_mult_factor': 3.195254015709299, 'bb_periods': 14.58859796107597, 'vol_mult_factor_down': 3.4110535042865755, 'vol_mult_factor_up': 3.1795327319875875, 'vol_periods': 9.04944118743919}",0,24.90202141,41
